FID,,,,,,,,,,,,,,,,,,,,,,,,,,
66,亳州市:GDP(亿元),883.6,791.1,700,626.7,512.8,431.9,404.2,335.6,298.7,265,224.6,183.3,172.5,164,160.1,57.3,56,56.4,47.7,  ,  ,  ,  ,  ,  
67,六安市:GDP(亿元),1095.8,1010.2,918.2,821,676.1,584,534,435.3,356.4,312.8,253.1,209.1,196.2,180.6,170.9,179.2,47.1,51.2,48.3,  ,  ,  ,  ,  ,  
68,合肥市:GDP(亿元),5180.6,4672.9,4100,3600,2701.6,2102.1,1664.8,1334.6,1073.8,853.6,589.7,485,412.8,363.4,324.7,294.5,270.5,249,211.6,167.6,131.8,97.4,71.3,59.7,58.2
69,安庆市:GDP(亿元),1544.3,1418.2,1359.7,1215.7,988.1,770.7,704.7,587.7,494.2,429.6,392,320.4,285.2,264.1,252.4,248.2,248,252.2,205.1,173.1,138.3,88.9,58.3,48.9,46.9
70,宣城市:GDP(亿元),917.6,842.8,760,671.4,525.7,432.8,411.6,332.7,287.9,251.5,235.7,203.2,182.6,168.9,160.4,173.2,203.2,  ,  ,  ,  ,  ,  ,  ,  
71,宿州市:GDP(亿元),1140.5,1014.3,910,780,650.6,540.6,511.1,424.3,359,313,279.1,219.9,207.4,193.2,178,197.5,187.2,65.2,55.8,  ,  ,  ,  ,  ,  
72,巢湖市:GDP(亿元),  ,  ,187,  ,629.7,529.4,479.3,404,344.4,301.9,294.6,248.3,222.7,205.3,190.2,208.5,55.6,54.8,48,  ,  ,  ,  ,  ,  
73,池州市:GDP(亿元),517.2,462.3,417.5,372.5,300.8,245.6,192.4,158,130.1,110.2,92.4,75.5,67,61.9,58.1,57,57.9,  ,  ,  ,  ,  ,  ,  ,  
74,淮北市:GDP(亿元),759.6,703.7,640,560,461.6,371.9,349.1,267.2,224.7,209,169.1,132.5,118.1,107.4,99,98.8,94.2,93.9,85.5,73.6,58.3,46.3,33.3,27.4,26.5
75,淮南市:GDP(亿元),789.3,819.4,800,709.5,603.6,508.8,453.6,344.2,305,263.6,214.5,170.5,152.1,134.9,126,125.8,124,123,106.4,83.5,68.3,50.3,32.8,25.4,27.7
76,滁州市:GDP(亿元),1214.4,1086.1,970.7,850,695.7,576.2,520.1,435.6,372.3,328.1,355.6,300.5,280.8,265.4,255.7,243.5,230,241.1,200.4,155.9,119.9,85.7,3.7,11.7,10.9
77,芜湖市:GDP(亿元),2309.6,2099.5,1880,1658.2,1108.6,902,749.7,582.3,479.7,400.7,345.1,284.9,245.5,218.8,200.6,193.2,186.8,164.9,132.1,100.9,75.1,52.8,38.4,31.5,31.9
78,蚌埠市:GDP(亿元),1151.2,1007.9,890,780.2,636.9,532.1,486.4,409.7,359,311.3,263.7,208.1,190.2,171.7,159.7,180.3,176.1,162.6,137.5,114.6,89.5,67.8,51.1,35,42.3
79,铜陵市:GDP(亿元),716.3,680.6,621.3,579.4,466.7,343.7,325.3,286.9,243.6,182.1,136.7,103,88.4,80.1,73.3,68.5,64.4,58,52,44.3,33.4,22.4,18.1,14.8,13.9
80,阜阳市:GDP(亿元),1189,1062.5,980,853.2,721.8,607.8,541.3,453.8,378.4,324.6,263.3,216.9,209.8,200.6,200.5,350.6,381.6,459.4,389.4,47.4,36.7,23.1,8.3,7,6.5
81,马鞍山市:GDP(亿元),1333.1,1292.8,1232,1144.2,811,665.9,636.3,532.1,428.9,371.4,265.1,192.5,154.6,138.2,126.2,123.7,117.1,123.5,109.3,94.3,80,34.8,40.6,32,28
82,黄山市:GDP(亿元),507.2,470.3,410,378.8,309.3,266.9,249.9,213.2,187.5,160,132,108.4,96.8,88.3,81.3,77.9,72.6,67.6,57.3,46.6,37.1,28.1,22.5,19.4,18
